id,topic,label,predict_label,score
801989272341453952,#ArianaGrande,1,1,0.985543
801990978424962944,#ArianaGrande,1,0,0.48346844
801996232553963008,#ArianaGrande,1,1,0.8456768
801998343442407040,#ArianaGrande,1,1,0.57379895
802001659970744064,#ArianaGrande,1,1,0.95097256
802003380973568000,#ArianaGrande,1,1,0.65454507
802014830467174016,#ArianaGrande,0,1,0.9286862
802022559520673024,#ArianaGrande,1,1,0.8826755
802024085777629056,#ArianaGrande,1,1,0.9895077
802028835013206016,#ArianaGrande,1,1,0.9870783
802028852180462976,#ArianaGrande,1,1,0.5322977
802032149885026048,#ArianaGrande,1,1,0.8259555
802042842096902016,#ArianaGrande,1,1,0.62361705
802045726318587008,#ArianaGrande,1,1,0.7068823
802198774114385024,#BlackLivesMatter,0,0,0.22797391
802198916594887936,#BlackLivesMatter,0,0,0.31920934
802203076522364032,#BlackLivesMatter,0,0,0.03758928
802203261923115008,#BlackLivesMatter,0,0,0.29122123
802203384904354944,#BlackLivesMatter,0,0,0.48591104
802203612348873984,#BlackLivesMatter,0,0,0.47738308
802203689549171968,#BlackLivesMatter,1,1,0.8995919
802203906319286016,#BlackLivesMatter,1,1,0.5947309
802204569300152064,#BlackLivesMatter,0,1,0.6130445
802205564914777984,#BlackLivesMatter,1,0,0.19035932
802205887905591040,#BlackLivesMatter,1,0,0.48838955
802206104180637056,#BlackLivesMatter,0,0,0.054218113
802207113632185984,#BlackLivesMatter,0,1,0.60912687
802207175208800000,#BlackLivesMatter,0,0,0.020661503
802207179428204032,#BlackLivesMatter,0,1,0.5694016
802207204317233024,#BlackLivesMatter,0,0,0.27926922
802207213737671936,#BlackLivesMatter,1,1,0.57428765
802207556626222976,#BlackLivesMatter,0,0,0.4532727
802212306738417024,#BlackLivesMatter,1,1,0.67620254
802213029198920960,#BlackLivesMatter,0,0,0.013500512
802213224066190976,#BlackLivesMatter,0,0,0.48709744
802213440240552960,#BlackLivesMatter,1,1,0.52879286
802213846144274048,#BlackLivesMatter,0,0,0.20006171
802213993494375936,#BlackLivesMatter,1,0,0.3520437
802214153133886976,#BlackLivesMatter,1,1,0.766024
802214371418115968,#BlackLivesMatter,0,0,0.023100406
802214451747453952,#BlackLivesMatter,1,0,0.45337626
802214725341691008,#BlackLivesMatter,0,0,0.033930838
802214731381672960,#BlackLivesMatter,0,1,0.9076704
802215107057041024,#BlackLivesMatter,1,0,0.46605617
802215749976604032,#BlackLivesMatter,0,1,0.9919583
802215881187201024,#BlackLivesMatter,1,1,0.98938495
801750657837436032,#FCBlive,1,1,0.94610465
801750989221063936,#FCBlive,1,1,0.9815264
801751398010514944,#FCBlive,1,0,0.48042834
801805701475613952,#FCBlive,1,1,0.99607825
801815976970894976,#FCBlive,1,1,0.96495676
801818135347203968,#FCBlive,1,1,0.99951816
801821040804404992,#FCBlive,1,1,0.97761786
801854828347608960,#FCBlive,1,1,0.9999724
801858233036054016,#FCBlive,1,1,0.99975467
801869764842941952,#FCBlive,1,1,0.9856856
801871916000833024,#FCBlive,1,1,0.89546835
801878842021478016,#FCBlive,1,1,0.9181148
801889467841858944,#FCBlive,1,1,0.9500852
801905337708276992,#FCBlive,1,1,0.9878587
801946582967009024,#FCBlive,1,1,0.9292344
801948645163761024,#FCBlive,0,0,0.45328543
801950568243691008,#FCBlive,1,1,0.9306242
802013515603185024,#FCBlive,1,1,0.696542
802052968581394048,#FCBlive,1,1,0.55878794
802097083117288960,#FCBlive,1,1,0.99602795
802128485930168064,#FCBlive,1,1,0.9977104
802149295872883968,#FCBlive,0,0,0.34290022
802149772651949952,#FCBlive,1,1,0.97222245
802162923242225024,#FCBlive,1,1,0.59717035
802200709160647936,#FCBlive,1,1,0.97779477
800600575419170048,#GilmoreGirlsTop4,1,0,0.49879757
800633765668061056,#GilmoreGirlsTop4,1,0,0.47021767
800697953820311040,#GilmoreGirlsTop4,1,1,0.8910819
800782409721643008,#GilmoreGirlsTop4,1,1,0.771542
800832352977042944,#GilmoreGirlsTop4,1,1,0.7177073
800840270933856000,#GilmoreGirlsTop4,1,1,0.54784393
800893936910893056,#GilmoreGirlsTop4,1,1,0.9396869
800922542902898048,#GilmoreGirlsTop4,1,0,0.48473823
800922746603666944,#GilmoreGirlsTop4,1,1,0.954653
