id,topic,label,predict_label,score
801989272341453952,#ArianaGrande,1,1,0.6495448
801990978424962944,#ArianaGrande,1,1,0.53988355
801996232553963008,#ArianaGrande,1,1,0.88771313
801998343442407040,#ArianaGrande,1,1,0.8577841
802001659970744064,#ArianaGrande,1,1,0.99385047
802003380973568000,#ArianaGrande,1,1,0.76846564
802014830467174016,#ArianaGrande,0,1,0.6935255
802022559520673024,#ArianaGrande,1,0,0.41819692
802024085777629056,#ArianaGrande,1,1,0.5322675
802028835013206016,#ArianaGrande,1,0,0.24628961
802028852180462976,#ArianaGrande,1,1,0.9072813
802032149885026048,#ArianaGrande,1,1,0.59336287
802042842096902016,#ArianaGrande,1,1,0.92434597
802045726318587008,#ArianaGrande,1,1,0.8826667
802198774114385024,#BlackLivesMatter,0,0,0.12160045
802198916594887936,#BlackLivesMatter,0,0,0.3978563
802203076522364032,#BlackLivesMatter,0,0,0.46092895
802203261923115008,#BlackLivesMatter,0,0,0.08254203
802203384904354944,#BlackLivesMatter,0,0,0.09944376
802203612348873984,#BlackLivesMatter,0,0,0.14158115
802203689549171968,#BlackLivesMatter,1,0,0.04525563
802203906319286016,#BlackLivesMatter,1,0,0.09733695
802204569300152064,#BlackLivesMatter,0,0,0.3931566
802205564914777984,#BlackLivesMatter,1,1,0.54388523
802205887905591040,#BlackLivesMatter,1,1,0.707024
802206104180637056,#BlackLivesMatter,0,0,0.19443744
802207113632185984,#BlackLivesMatter,0,0,0.11901727
802207175208800000,#BlackLivesMatter,0,0,0.1886991
802207179428204032,#BlackLivesMatter,0,0,0.47917575
802207204317233024,#BlackLivesMatter,0,0,0.11451459
802207213737671936,#BlackLivesMatter,1,0,0.15922013
802207556626222976,#BlackLivesMatter,0,0,0.1540511
802212306738417024,#BlackLivesMatter,1,0,0.14080405
802213029198920960,#BlackLivesMatter,0,0,0.14094734
802213224066190976,#BlackLivesMatter,0,0,0.053553224
802213440240552960,#BlackLivesMatter,1,0,0.3777476
802213846144274048,#BlackLivesMatter,0,0,0.065968215
802213993494375936,#BlackLivesMatter,1,0,0.38081336
802214153133886976,#BlackLivesMatter,1,1,0.5792463
802214371418115968,#BlackLivesMatter,0,0,0.07834557
802214451747453952,#BlackLivesMatter,1,0,0.16888916
802214725341691008,#BlackLivesMatter,0,0,0.070683956
802214731381672960,#BlackLivesMatter,0,1,0.7298516
802215107057041024,#BlackLivesMatter,1,0,0.06986514
802215749976604032,#BlackLivesMatter,0,0,0.38492617
802215881187201024,#BlackLivesMatter,1,0,0.3510336
801750657837436032,#FCBlive,1,0,0.13433006
801750989221063936,#FCBlive,1,1,0.9420921
801751398010514944,#FCBlive,1,1,0.9280677
801805701475613952,#FCBlive,1,1,0.9440757
801815976970894976,#FCBlive,1,1,0.9775131
801818135347203968,#FCBlive,1,1,0.96186936
801821040804404992,#FCBlive,1,1,0.5433265
801854828347608960,#FCBlive,1,1,0.8866261
801858233036054016,#FCBlive,1,1,0.96622264
801869764842941952,#FCBlive,1,1,0.78210557
801871916000833024,#FCBlive,1,0,0.21434125
801878842021478016,#FCBlive,1,1,0.5716607
801889467841858944,#FCBlive,1,1,0.982409
801905337708276992,#FCBlive,1,0,0.47768912
801946582967009024,#FCBlive,1,0,0.31637526
801948645163761024,#FCBlive,0,1,0.74837
801950568243691008,#FCBlive,1,1,0.8976617
802013515603185024,#FCBlive,1,0,0.207392
802052968581394048,#FCBlive,1,0,0.42482504
802097083117288960,#FCBlive,1,1,0.5593232
802128485930168064,#FCBlive,1,0,0.39477637
802149295872883968,#FCBlive,0,0,0.14414844
